LocalizeKey,Note,Default,en,zh,hi
HomeSystem_BeginnerIntro_4,,欢迎来到我们为你准备的专属家园。在美好生活开始之前，我们需要你留下对这个小世界的承诺。,欢迎来到我们为你准备的专属家园。在美好生活开始之前，我们需要你留下对这个小世界的承诺。,欢迎来到我们为你准备的专属家园。在美好生活开始之前，我们需要你留下对这个小世界的承诺。,欢迎来到我们为你准备的专属家园。在美好生活开始之前，我们需要你留下对这个小世界的承诺。
ArchetypesPlayerLocalIntroGuiUploadImgUploadBtnText,,,,,
ArchetypesPlayerLocalUploadGuiUploadImgButton,,,,,
ArchetypesPlayerLocalUploadGuiUploadImgButton(0),,,,,
ArchetypesPlayerLocalControlGuiTouchBtn,,,,,
ArchetypesPlayerLocalLibrary_WallDecGuiPosFigObserBtn,,,,,
ArchetypesPlayerLocalFurnitureGuiMovement,,,,,
ArchetypesUIPrefabsWarnBarText,,Avatar,,,
ArchetypesPlayerLocalControlGuiSecondTriggerBtn3,,,,,
ArchetypesPlayerLocalControlGuiFirstTriggerButton,,,,,
ArchetypesPlayerLocalControlGuiFirstTriggerTrigger,,,,,
